Hyperparameters:
N: 5
T: 10
beta: 0.001
sigma: 10000.0
learning_rate: 0.0001
max_iterations: 1000000

Iteration 0/1000000, Loss 0: 0.012650, Loss 1: 0.000001, Total Loss: 0.017941, Learning Rate: 0.00010000
Iteration 100/1000000, Loss 0: 0.012557, Loss 1: 0.000000, Total Loss: 0.012557, Learning Rate: 0.00010000
Iteration 200/1000000, Loss 0: 0.012426, Loss 1: 0.000000, Total Loss: 0.012426, Learning Rate: 0.00010000
Iteration 300/1000000, Loss 0: 0.012263, Loss 1: 0.000000, Total Loss: 0.012263, Learning Rate: 0.00010000
Iteration 400/1000000, Loss 0: 0.012079, Loss 1: 0.000000, Total Loss: 0.012079, Learning Rate: 0.00010000
Iteration 500/1000000, Loss 0: 0.011882, Loss 1: 0.000000, Total Loss: 0.011883, Learning Rate: 0.00010000
Iteration 600/1000000, Loss 0: 0.011677, Loss 1: 0.000000, Total Loss: 0.011678, Learning Rate: 0.00010000
Iteration 700/1000000, Loss 0: 0.011468, Loss 1: 0.000000, Total Loss: 0.011507, Learning Rate: 0.00010000
Iteration 800/1000000, Loss 0: 0.011259, Loss 1: 0.000000, Total Loss: 0.011265, Learning Rate: 0.00010000
Iteration 900/1000000, Loss 0: 0.011052, Loss 1: 0.000000, Total Loss: 0.011057, Learning Rate: 0.00010000
Iteration 1000/1000000, Loss 0: 0.010850, Loss 1: 0.000000, Total Loss: 0.010854, Learning Rate: 0.00010000
Iteration 1100/1000000, Loss 0: 0.010654, Loss 1: 0.000000, Total Loss: 0.010656, Learning Rate: 0.00010000
Iteration 1200/1000000, Loss 0: 0.010465, Loss 1: 0.000000, Total Loss: 0.010503, Learning Rate: 0.00010000
Iteration 1300/1000000, Loss 0: 0.010284, Loss 1: 0.000000, Total Loss: 0.010289, Learning Rate: 0.00010000
Iteration 1400/1000000, Loss 0: 0.010111, Loss 1: 0.000000, Total Loss: 0.010121, Learning Rate: 0.00010000
Iteration 1500/1000000, Loss 0: 0.009947, Loss 1: 0.000000, Total Loss: 0.009948, Learning Rate: 0.00010000
Iteration 1600/1000000, Loss 0: 0.009790, Loss 1: 0.000000, Total Loss: 0.009815, Learning Rate: 0.00010000
Iteration 1700/1000000, Loss 0: 0.009641, Loss 1: 0.000000, Total Loss: 0.009645, Learning Rate: 0.00010000
Iteration 1800/1000000, Loss 0: 0.009499, Loss 1: 0.000000, Total Loss: 0.009554, Learning Rate: 0.00010000
Iteration 1900/1000000, Loss 0: 0.009365, Loss 1: 0.000000, Total Loss: 0.009389, Learning Rate: 0.00010000
Iteration 2000/1000000, Loss 0: 0.009238, Loss 1: 0.000000, Total Loss: 0.009268, Learning Rate: 0.00010000
Iteration 2100/1000000, Loss 0: 0.009116, Loss 1: 0.000000, Total Loss: 0.009119, Learning Rate: 0.00010000
Iteration 2200/1000000, Loss 0: 0.009001, Loss 1: 0.000000, Total Loss: 0.009002, Learning Rate: 0.00010000
Iteration 2300/1000000, Loss 0: 0.008891, Loss 1: 0.000000, Total Loss: 0.008896, Learning Rate: 0.00010000
Iteration 2400/1000000, Loss 0: 0.008785, Loss 1: 0.000000, Total Loss: 0.008844, Learning Rate: 0.00010000
Iteration 2500/1000000, Loss 0: 0.008685, Loss 1: 0.000000, Total Loss: 0.008688, Learning Rate: 0.00010000
Iteration 2600/1000000, Loss 0: 0.008589, Loss 1: 0.000000, Total Loss: 0.008595, Learning Rate: 0.00010000
Iteration 2700/1000000, Loss 0: 0.008496, Loss 1: 0.000000, Total Loss: 0.008523, Learning Rate: 0.00010000
Iteration 2800/1000000, Loss 0: 0.008407, Loss 1: 0.000000, Total Loss: 0.008415, Learning Rate: 0.00010000
Iteration 2900/1000000, Loss 0: 0.008321, Loss 1: 0.000000, Total Loss: 0.008337, Learning Rate: 0.00010000
Iteration 3000/1000000, Loss 0: 0.008238, Loss 1: 0.000000, Total Loss: 0.008247, Learning Rate: 0.00010000
Iteration 3100/1000000, Loss 0: 0.008159, Loss 1: 0.000000, Total Loss: 0.008188, Learning Rate: 0.00010000
Iteration 3200/1000000, Loss 0: 0.008082, Loss 1: 0.000000, Total Loss: 0.008085, Learning Rate: 0.00010000
Iteration 3300/1000000, Loss 0: 0.008008, Loss 1: 0.000000, Total Loss: 0.008008, Learning Rate: 0.00010000
Iteration 3400/1000000, Loss 0: 0.007935, Loss 1: 0.000000, Total Loss: 0.007947, Learning Rate: 0.00010000
Iteration 3500/1000000, Loss 0: 0.007865, Loss 1: 0.000000, Total Loss: 0.007904, Learning Rate: 0.00010000
Iteration 3600/1000000, Loss 0: 0.007797, Loss 1: 0.000000, Total Loss: 0.007799, Learning Rate: 0.00010000
Iteration 3700/1000000, Loss 0: 0.007730, Loss 1: 0.000000, Total Loss: 0.007733, Learning Rate: 0.00010000
Iteration 3800/1000000, Loss 0: 0.007666, Loss 1: 0.000000, Total Loss: 0.007672, Learning Rate: 0.00010000
Iteration 3900/1000000, Loss 0: 0.007602, Loss 1: 0.000000, Total Loss: 0.007654, Learning Rate: 0.00010000
Iteration 4000/1000000, Loss 0: 0.007541, Loss 1: 0.000000, Total Loss: 0.007546, Learning Rate: 0.00010000
Iteration 4100/1000000, Loss 0: 0.007480, Loss 1: 0.000000, Total Loss: 0.007527, Learning Rate: 0.00010000
Iteration 4200/1000000, Loss 0: 0.007421, Loss 1: 0.000000, Total Loss: 0.007459, Learning Rate: 0.00010000
Iteration 4300/1000000, Loss 0: 0.007362, Loss 1: 0.000000, Total Loss: 0.007404, Learning Rate: 0.00010000
Iteration 4400/1000000, Loss 0: 0.007305, Loss 1: 0.000000, Total Loss: 0.007306, Learning Rate: 0.00010000
Iteration 4500/1000000, Loss 0: 0.007249, Loss 1: 0.000000, Total Loss: 0.007266, Learning Rate: 0.00010000
Iteration 4600/1000000, Loss 0: 0.007194, Loss 1: 0.000000, Total Loss: 0.007195, Learning Rate: 0.00010000
Iteration 4700/1000000, Loss 0: 0.007139, Loss 1: 0.000000, Total Loss: 0.007144, Learning Rate: 0.00010000
Iteration 4800/1000000, Loss 0: 0.007086, Loss 1: 0.000000, Total Loss: 0.007096, Learning Rate: 0.00010000
Iteration 4900/1000000, Loss 0: 0.007033, Loss 1: 0.000000, Total Loss: 0.007050, Learning Rate: 0.00010000
Iteration 5000/1000000, Loss 0: 0.006981, Loss 1: 0.000000, Total Loss: 0.006982, Learning Rate: 0.00010000
