Hyperparameters:
N: 5
T: 10
beta: 0.001
sigma: 10000.0
learning_rate: 0.0001
max_iterations: 1000000

Iteration 0/1000000, Loss 0: 0.049268, Loss 1: 0.014996, Total Loss: 150.010742, Learning Rate: 0.00010000
Iteration 100/1000000, Loss 0: 0.049055, Loss 1: 0.011753, Total Loss: 117.580147, Learning Rate: 0.00010000
Iteration 200/1000000, Loss 0: 0.048715, Loss 1: 0.009390, Total Loss: 93.948997, Learning Rate: 0.00010000
Iteration 300/1000000, Loss 0: 0.048302, Loss 1: 0.007558, Total Loss: 75.632591, Learning Rate: 0.00010000
Iteration 400/1000000, Loss 0: 0.047869, Loss 1: 0.006100, Total Loss: 61.045845, Learning Rate: 0.00010000
Iteration 500/1000000, Loss 0: 0.047450, Loss 1: 0.004936, Total Loss: 49.405682, Learning Rate: 0.00010000
Iteration 600/1000000, Loss 0: 0.047058, Loss 1: 0.004006, Total Loss: 40.109608, Learning Rate: 0.00010000
Iteration 700/1000000, Loss 0: 0.046699, Loss 1: 0.003261, Total Loss: 32.657978, Learning Rate: 0.00010000
Iteration 800/1000000, Loss 0: 0.046375, Loss 1: 0.002660, Total Loss: 26.645821, Learning Rate: 0.00010000
Iteration 900/1000000, Loss 0: 0.046087, Loss 1: 0.002171, Total Loss: 21.755489, Learning Rate: 0.00010000
Iteration 1000/1000000, Loss 0: 0.045834, Loss 1: 0.001770, Total Loss: 17.744268, Learning Rate: 0.00010000
Iteration 1100/1000000, Loss 0: 0.045609, Loss 1: 0.001439, Total Loss: 14.430738, Learning Rate: 0.00010000
Iteration 1200/1000000, Loss 0: 0.045413, Loss 1: 0.001164, Total Loss: 11.680479, Learning Rate: 0.00010000
Iteration 1300/1000000, Loss 0: 0.045240, Loss 1: 0.000935, Total Loss: 9.393014, Learning Rate: 0.00010000
Iteration 1400/1000000, Loss 0: 0.045088, Loss 1: 0.000745, Total Loss: 7.492674, Learning Rate: 0.00010000
Iteration 1500/1000000, Loss 0: 0.044952, Loss 1: 0.000588, Total Loss: 5.920134, Learning Rate: 0.00010000
Iteration 1600/1000000, Loss 0: 0.044833, Loss 1: 0.000458, Total Loss: 4.627547, Learning Rate: 0.00010000
Iteration 1700/1000000, Loss 0: 0.044725, Loss 1: 0.000353, Total Loss: 3.574445, Learning Rate: 0.00010000
Iteration 1800/1000000, Loss 0: 0.044629, Loss 1: 0.000268, Total Loss: 2.725922, Learning Rate: 0.00010000
Iteration 1900/1000000, Loss 0: 0.044542, Loss 1: 0.000201, Total Loss: 2.050985, Learning Rate: 0.00010000
Iteration 2000/1000000, Loss 0: 0.044463, Loss 1: 0.000148, Total Loss: 1.521797, Learning Rate: 0.00010000
Iteration 2100/1000000, Loss 0: 0.044391, Loss 1: 0.000107, Total Loss: 1.113502, Learning Rate: 0.00010000
